Size,din931:k,din931:s,iso4014:k,iso4014:s,iso4017:k,iso4017:s
M1.6-0.35,,,,,1.3,3.2
M2-0.4,,,,,1.6,4
M2.5-0.45,,,,,1.9,5
M3-0.5,2,5.5,2,5.5,2.2,5.5
M3.5-0.6,,,,,2.6,6
M4-0.7,2.8,7,2.8,7,3,7
M5-0.8,3.5,8,3.5,8,3.74,8
M6-1,4,10,4,10,4.24,10
M8-1.25,5.3,13,5.3,13,5.54,13
M10-1.5,6.4,17,6.4,16,6.69,16
M12-1.75,7.5,19,7.5,18,7.79,18
M14-2,8.8,22,8.8,21,9.09,21
M16-2,10,24,10,24,10.29,24
M18-2.5,11.5,27,11.5,27,11.85,27
M20-2.5,12.5,30,12.5,30,12.85,30
M22-2.5,14,32,14,34,14.35,34
M24-3,15,36,15,36,15.35,36
M27-3,17,41,17,41,17.35,41
M30-3.5,18.7,46,18.7,46,19.12,46
M33-3.5,,,,,21.42,50
M36-4,22.5,55,22.5,55,22.95,55
M39-4,,,,,25.42,60
M42-4.5,26,65,26,65,26.42,65
M45-4.5,,,,,28.42,70
M48-5,30,75,30,75,30.42,75
M52-5,,,,,33.5,80
M56-5.5,35,85,35,85,35.5,85
M60-5.5,,,,,38.5,90
M64-6,40,95,40,95,40.5,95
