Size,iso7090:d1,iso7090:d2,iso7090:h
M5,5.3,10,1.1
M6,6.4,12,1.8
M7,7.4,14,1.8
M8,8.4,16,1.8
M10,10.5,20,2.2
M12,13,24,2.7
M14,15,28,2.7
M16,17,30,3.3
M18,19,34,3.3
M20,21,37,3.3
M22,23,39,3.3
M24,25,44,4.3
M26,27,50,4.3
M27,28,50,4.3
M28,29,50,4.3
M30,31,56,4.3
M32,33,60,5.6
M33,34,60,5.6
M35,36,66,5.6
M36,37,66,5.6
M38,39,72,6.6
M39,40,72,6.6
M40,41,72,6.6
M42,43,78,8
M45,46,85,8
M48,50,92,9
M50,52,92,9
M52,54,98,9
M55,57,105,10
M56,58,105,10
M58,60,110,10
M60,62,110,10
M64,66,115,10
M68,70,120,11
M72,74,125,11
M76,78,135,11
M80,82,140,13.2
M85,87,145,13.2
M90,93,160,13.2
M95,98,165,13.2
M100,104,175,15.2
M105,109,180,15.2
M110,114,185,15.2
M115,119,200,15.2
M120,124,210,17.2
M125,129,220,17.2
M130,134,220,17.2
M135,139,230,17.2
M140,144,240,19.2
M145,149,250,19.2
M150,155,250,19.2
M160,165,250,19.2
