Size,iso10642:a,iso10642:dk ,iso10642:k,iso10642:s,iso10642:t,iso10642:short,iso10642:long,iso14581:a,iso14581:dk,iso14581:k,iso14581:recess,iso14581:short,iso14581:long,iso14582:a,iso14582:dk,iso14582:k,iso14582:recess,iso14582:short,iso14582:long,iso2009:a,iso2009:b,iso2009:dk,iso2009:k,iso2009:n,iso2009:t,iso2009:short,iso2009:long,iso7046:a,iso7046:dk,iso7046:k,iso7046:recess,iso7046:short,iso7046:long
M1-0.25,,,,,,,,,,,,,,,,,,,,90,0,1.9,0.6,0.31,0.3,2,5,,,,,,
M1.2-0.25,,,,,,,,,,,,,,,,,,,,90,0,2.3,0.72,0.36,0.35,2,6,,,,,,
M1.4-0.3,,,,,,,,,,,,,,,,,,,,90,0,2.6,0.86,0.36,0.4,2,10,,,,,,
M1.5-0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1.6-0.35,,,,,,,,,,,,,,,,,,,,90,15,3,0.96,0.46,0.45,2,10,90,3,0.96,PH0,3,16
M1.8-0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2-0.4,,,,,,,,90,4.4,1.2,T6,3,20,,,,,,,90,16,3.8,1.2,0.56,0.6,3,18,90,3.8,1.2,PH0,3,20
M2-0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2.2-0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2.5-0.45,,,,,,,,90,5.5,1.5,T8,3,25,,,,,,,90,18,4.7,1.5,0.66,0.7,3,25,90,4.7,1.5,PH1,3,25
M3-0.5,90,6,1.7,2.1,1.2,8,30,90,6.3,1.65,T10,4,30,90,6.5,2.2,T10,8,30,90,19,5.6,1.65,0.86,0.85,4,30,90,5.6,1.65,PH1,4,30
M3-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3.5-0.6,,,,,,,,90,8.2,2.35,T15,5,35,,,,,,,90,20,6.5,1.93,0.96,1,4,35,90,6.5,1.93,PH2,5,35
M4-0.7,90,8,2.3,2.6,1.8,8,40,90,9.4,2.7,T20,5,40,90,9,3.01,T20,8,40,90,22,7.5,2.2,1.06,1.1,5,40,90,7.5,2.2,PH2,5,40
M4-0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4.5-0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M5-0.8,90,10,2.8,3.1,2.3,8,50,90,10.4,2.7,T25,6,50,90,10.8,3.5,T25,8,50,90,25,9.2,2.5,1.26,1.3,6,50,90,9.2,2.5,PH2,6,50
M5-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M5-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M5.5-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6-0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6-1,90,12,3.3,4.12,2.5,8,60,90,12.6,3.3,T30,8,50,90,13.1,4.22,T30,8,60,90,28,11,3,1.66,1.6,8,50,90,11,3,PH3,8,60
M7-0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M7-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8-1.25,90,16,4.4,5.14,3.5,10,80,90,17.3,4.65,T45,10,60,90,17.8,5.69,T45,10,80,90,34,14.5,4,2.06,2.1,10,55,90,14.5,4,PH4,10,60
M9-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M9-1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10-1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10-1.5,90,20,5.5,6.14,4.4,12,100,90,20,5,T50,12,60,90,21.1,6.5,T50,12,100,90,40,18,5,2.56,2.6,12,60,90,18,5,PH4,12,60
M11-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M12-1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M12-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M12-1.75,90,24,6.5,8.175,4.6,20,100,,,,,,,,,,,,,90,46,22,6,3.06,3,20,80,,,,,,
M14-1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M14-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M14-2,90,27,7,10.175,4.8,25,100,,,,,,,,,,,,,90,52,25,7,3.06,3.5,22,80,,,,,,
M15-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M16-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M16-2,90,30,7.5,10.175,5.3,30,100,,,,,,,,,,,,,90,58,29,8,4.07,4,25,100,,,,,,
M17-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M18-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M18-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M18-2.5,90,33,8,12.212,5.5,35,100,,,,,,,,,,,,,90,64,33,9,4.07,4.5,28,100,,,,,,
M19-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M20-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M20-2.5,90,36,8.5,12.212,5.9,35,100,,,,,,,,,,,,,90,70,36,10,5.07,5,30,100,,,,,,
M22-2.5,60,36,13.1,14.212,8.8,40,100,,,,,,,,,,,,,,,,,,,,,,,,,,
M24-3,60,39,14,14.212,10.3,50,110,,,,,,,,,,,,,,,,,,,,,,,,,,
