Size,din931:k,din931:s,din931:short,din931:long,iso4014:k,iso4014:s,iso4014:short,iso4014:long,iso4017:k,iso4017:s,iso4017:short,iso4017:long
M1.6-0.35,,,,,1.3,3.2,12,16,1.3,3.2,2,16
M2-0.4,,,,,1.6,4,16,20,1.6,4,4,20
M2.5-0.45,,,,,1.9,5,16,25,1.9,5,5,25
M3-0.5,2,5.5,20,30,2,5.5,20,30,2.2,5.5,5,30
M3.5-0.6,,,,,2.6,6,20,35,2.6,6,8,35
M4-0.7,2.8,7,25,40,2.8,7,25,40,3,7,6,40
M5-0.8,3.5,8,25,50,3.5,8,25,50,3.74,8,8,50
M6-1,4,10,30,60,4,10,30,60,4.24,10,12,60
M8-1.25,5.3,13,35,80,5.3,13,40,80,5.54,13,16,80
M10-1.5,6.4,17,40,100,6.4,16,45,100,6.69,16,20,100
M12-1.75,7.5,19,45,120,7.5,18,50,120,7.79,18,25,120
M14-2,8.8,22,50,140,8.8,21,60,140,9.09,21,25,140
M16-2,10,24,55,160,10,24,65,160,10.29,24,30,150
M18-2.5,11.5,27,65,180,11.5,27,70,180,11.85,27,35,200
M20-2.5,12.5,30,65,200,12.5,30,80,200,12.85,30,40,160
M22-2.5,14,32,70,220,14,34,90,220,14.35,34,45,200
M24-3,15,36,80,240,15,36,90,240,15.35,36,50,180
M27-3,17,41,90,260,17,41,100,260,17.35,41,50,100
M30-3.5,18.7,46,90,300,18.7,46,110,300,19.12,46,60,200
M33-3.5,,,,,21.42,50,130,320,21.42,50,65,200
M36-4,22.5,55,110,300,22.5,55,140,360,22.95,55,70,200
M39-4,,,,,25.42,60,150,380,25.42,60,80,200
M42-4.5,26,65,,,26,65,160,440,26.42,65,70,200
M45-4.5,,,,,28.42,70,180,440,28.42,70,90,200
M48-5,30,75,,,30,75,190,480,30.42,75,100,200
M52-5,,,,,33.5,80,200,480,33.5,80,100,200
M56-5.5,35,85,,,35,85,220,500,35.5,85,110,200
M60-5.5,,,,,38.5,90,240,500,38.5,90,120,200
M64-6,40,95,,,40,95,260,500,40.5,95,120,200
