Size,iso4032:m,iso4032:s,iso4033:m,iso4033:s,iso4035:m,iso4035:s
M1.6-0.35,1.3,3.2,,,1,3.2
M1.8-0.35,,,,,1.1,3.5
M2-0.4,1.6,4,,,1.2,4
M2.5-0.45,2,5,,,1.6,5
M3-0.45,,,,,1.8,5.5
M3-0.5,2.4,5.5,,,,
M3.5-0.6,2.8,6,,,2,6
M4-0.7,3.2,7,,,2.2,7
M5-0.8,4.7,8,5.1,8,2.7,8
M6-1,5.2,10,5.7,10,3.2,10
M8-1.25,6.8,13,7.5,13,4,13
M10-1.5,8.4,16,9.3,16,5,17
M12-1.75,10.8,18,12,18,6,19
M14-2,12.8,21,14.1,21,7,22
M16-2,14.8,24,16.4,24,8,24
M18-2.5,15.8,27,,,9,27
M20-2.5,18,30,20.3,30,10,30
M22-2.5,19.4,34,,,11,32
M24-3,21.5,36,23.9,36,12,36
M27-3,23.8,41,,,13.5,41
M30-3.5,25.6,46,28.6,46,15,46
M33-3.5,28.7,50,,,16.5,50
M36-4,31,55,34.7,55,18,55
M39-4,33.4,60,,,19.5,60
M42-4.5,34,65,,,21,65
M45-4.5,36,70,,,22.5,70
M48-5,38,75,,,24,75
M52-5,42,80,,,26,80
M56-5.5,45,85,,,,
M60-5.5,48,90,,,,
M64-6,51,95,,,,
