Size,Head_Diameter,Head_Height,Socket_Size,Socket_Depth
#0-80,0.109,0.029,0.035,0.020
#1-64,0.134,0.036,0.05,0.028
#1-72,0.134,0.036,0.05,0.028
#2-56,0.159,0.042,0.05,0.028
#2-64,0.159,0.042,0.05,0.028
#3-48,0.182,0.048,1/16,0.035
#3-56,0.182,0.048,1/16,0.035
#4-36,0.207,0.055,1/16,0.035
#4-40,0.207,0.055,1/16,0.035
#4-48,0.207,0.055,1/16,0.035
#5-40,0.232,0.062,5/64,0.044
#5-44,0.232,0.062,5/64,0.044
#6-32,0.256,0.068,5/64,0.044
#6-40,0.256,0.068,5/64,0.044
#8-32,0.305,0.082,3/32,0.052
#8-36,0.305,0.082,3/32,0.052
#10-24,0.354,0.096,1/8,0.070
#10-32,0.354,0.096,1/8,0.070
1/4-20,0.428,0.127,5/32,0.087
1/4-28,0.428,0.127,5/32,0.087
5/16-18,0.537,0.159,3/16,0.105
5/16-24,0.537,0.159,3/16,0.105
3/8-16,0.646,0.192,7/32,0.122
3/8-24,0.646,0.192,7/32,0.122
1/2-13,0.863,0.255,5/16,0.175
1/2-20,0.863,0.255,5/16,0.175
5/8-11,0.985,0.321,3/8,0.210
5/8-18,0.985,0.321,3/8,0.210
