Size,Socket_Size,Socket_Depth
#0-80,0.028,0.05
#1-64,0.028,0.06
#1-72,0.028,0.06
#2-56,0.035,0.06
#2-64,0.035,0.06
#3-48,0.05,0.07
#3-56,0.05,0.07
#4-36,0.05,0.07
#4-40,0.05,0.07
#4-48,0.05,0.07
#5-40,1/16,0.08
#5-44,1/16,0.08
#6-32,1/16,0.08
#6-40,1/16,0.08
#8-32,5/64,0.09
#8-36,5/64,0.09
#10-24,3/32,0.1
#10-32,3/32,0.1
1/4-20,1/8,0.125
1/4-28,1/8,0.125
5/16-18,5/32,0.156
5/16-24,5/32,0.156
3/8-16,3/16,0.188
3/8-24,3/16,0.188
7/16-14,7/32,0.219
7/16-20,7/32,0.219
1/2-13,1/4,0.25
1/2-20,1/4,0.25
5/8-11,5/16,0.312
5/8-18,5/16,0.312
3/4-10,3/8,0.375
3/4-16,3/8,0.375
7/8-14,1/2,0.5
7/8-9,1/2,0.5
1-8,9/16,0.562
1-12,9/16,0.562
1-14,9/16,0.562
