Size-TPI,Head_Diameter,Head_Height,Socket_Size,Socket_Depth,Max_Thread_Length
#0-80, 0.094, 0.059, 0.05, 0.025, 0.500
#1-64, 0.115, 0.072, 1/16, 0.031, 0.625
#1-72, 0.115, 0.072, 1/16, 0.031, 0.625
#2-56, 0.137, 0.085, 5/64, 0.038, 0.625
#2-64, 0.137, 0.085, 5/64, 0.038, 0.625
#3-48, 0.158, 0.097, 5/64, 0.044, 0.625
#3-56, 0.158, 0.097, 5/64, 0.044, 0.625
#4-36, 0.180, 0.110, 3/32, 0.051, 0.750
#4-40, 0.180, 0.110, 3/32, 0.051, 0.750
#4-48, 0.180, 0.110, 3/32, 0.051, 0.750
#5-40, 0.202, 0.123, 3/32, 0.057, 0.750
#5-44, 0.202, 0.123, 3/32, 0.057, 0.750
#6-32, 0.222, 0.136, 7/64, 0.064, 0.750
#6-40, 0.222, 0.136, 7/64, 0.064, 0.750
#8-32, 0.266, 0.162, 9/64, 0.077, 0.875
#8-36, 0.266, 0.162, 9/64, 0.077, 0.875
#10-24, 0.308, 0.188, 5/32, 0.090, 0.875
#10-32, 0.308, 0.188, 5/32, 0.090, 0.875
1/4-20, 0.370, 0.247, 3/16, 0.120, 1.000
1/4-28, 0.370, 0.247, 3/16, 0.120, 1.000
5/16-18, 0.463, 0.309, 1/4, 0.151, 1.125
5/16-24, 0.463, 0.309, 1/4, 0.151, 1.125
3/8-16, 0.556, 0.372, 5/16, 0.182, 1.250
3/8-24, 0.556, 0.372, 5/16, 0.182, 1.250
7/16-14, 0.649, 0.434, 3/8, 0.213, 1.375
7/16-20, 0.649, 0.434, 3/8, 0.213, 1.375
1/2-13, 0.743, 0.496, 3/8, 0.245, 1.500
1/2-20, 0.743, 0.496, 3/8, 0.245, 1.500
5/8-11, 0.930, 0.621, 1/2, 0.307, 1.750
5/8-18, 0.930, 0.621, 1/2, 0.307, 1.750
3/4-10, 1.116, 0.745, 5/8, 0.370, 2.000
3/4-16, 1.116, 0.745, 5/8, 0.370, 2.000
7/8-14, 1.303, 0.870, 3/4, 0.432, 2.250
7/8-9, 1.303, 0.870, 3/4, 0.432, 2.250
1-8, 1.490, 0.994, 3/4, 0.495, 2.500
1-12, 1.490, 0.994, 3/4, 0.495, 2.500
1-14, 1.490, 0.994, 3/4, 0.495, 2.500
1 1/4-7, 1.864, 1.243, 7/8, 0.620, 2.750
1 1/4-12, 1.864, 1.243, 7/8, 0.620, 2.750
1 1/2-6, 2.237, 1.493, 1, 0.745, 3.000
1 1/2-12, 2.237, 1.493, 1, 0.745, 3.000
