Size-Pitch,Head_Diameter,Head_Height,Socket_Size,Socket_Depth,Max_Thread_Length
M2-0.4, 3.80, 2.00, 1.50, 1.00, 15.00
M2.5-0.45, 4.50, 2.50, 2.00, 1.25, 15.00
M2.6-0.45, 4.50, 2.60, 2.00, 1.30, 15.00
M3-0.5, 5.50, 3.00, 2.50, 1.50, 18.00
M4-0.7, 7.00, 4.00, 3.00, 2.00, 20.00
M5-0.8, 8.50, 5.00, 4.0, 2.50, 22.00
M6-1.0, 10.00, 6.00, 5.00, 3.00, 24.00
M8-1.25, 13.00, 8.00, 6.00, 4.00, 28.00
M10-1.5, 16.00, 10.00, 8.00, 5.00, 32.00
M12-1.75, 18.00, 12.00, 10.00, 6.00, 36.00
M14-2.0, 21.00, 14.00, 12.00, 7.00, 40.00
M16-2.0, 24.00, 16.00, 14.00, 8.00, 44.00
M20-2.5, 30.00, 20.00, 17.00, 10.00, 50.00
M24-3.0, 36.00, 24.00, 19.00, 12.00, 55.00
M30-3.5, 45.00, 30.00, 22.00, 15.00, 60.00
M36-4.0, 54.00, 36.00, 27.00, 18.00, 65.00
M42-4.5, 63.00, 42.00, 32.00, 21.00, 70.00
M48-5.0, 72.00, 48.00, 36.00, 24.00, 80.00
