Screw_Type,Unit,Nominal_Sizes
din931,mm,"30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,110,120,130,140,150,160,170,180,190,200,220,240,260,280,300"
din967,mm,"4,5,6,8,10,12,14,16,20,25,30,35,40,45,50,55,60"
din968,mm,"4.5,6.5,9.5,13,16,19,22,25,32,38,45,50"
din1662,mm,"10,12,16,20,25,30,35,40,45,50,55,60,65,70,80,90,100,110,120"
din1665,mm,"10,12,16,20,25,30,35,40,45,50,55,60,65,70,80,90,100,110,120,130,140,150,160,180,200"
iso1207,mm,"2,3,4,5,6,8,10,12,14,16,20,25,30,35,40,45,50,55,60,65,70,75,80"
iso1580,mm,"2,2.5,3,4,5,68,10,12,14,16,20,25,30,35,40,45,50,55,60,65,70,75,80"
iso2009,mm,"2,3,4,5,6,8,10,12,14,16,18,20,22,25,28,30,35,40,45,50,55,60,70,80,90,100"
iso2010,mm,"2,3,4,5,6,8,10,12,14,16,18,20,22,25,30,35,40,45,50,55,60"
iso4014,mm,"12,16,20,25,30,35,40,45,50,55,60,65,70,80,90,100,110,120,130,140,150,160,180,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,500"
iso4017,mm,"2,3,4,5,6,8,10,12,16,20,25,30,35,40,45,50,55,60,65,70,80,90,100,110,120,130,140,150,160,180,200"
iso4026,mm,"2,2.5,3,3.5,4,5,6,8,10,12,14,16,18,20,22,25,28,30,35,40,45,50,55,60"
iso4762,mm,"2.5,3,4,5,6,8,10,12,16,20,25,30,35,40,45,50,55,60,65,70,80,90,100,110,120,130,140,150,160,180,200,220,240,260,280,300"
iso7045,mm,"3,4,5,6,8,10,12,14,16,20,25,30,35,40,45,50,55,60"
iso7046,mm,"3,4,5,6,8,10,12,14,16,20,25,30,35,40,45,50,55,60"
iso7047,mm,"3,4,5,6,8,10,12,14,16,20,25,30,35,40,45,50,55,60"
iso7048,mm,"2,3,4,5,6,8,10,12,16,20,25,30,35,40,45,50,60,70,80"
iso7380_1,mm,"6,8,10,12,16,20,25,30,35,40,45,50,55,60,65,70,80,90"
iso7380_2,mm,"6,8,10,12,16,20,25,30,35,40,45,50,55,60,65,70,80,90"
iso10642,mm,"8,10,12,16,20,25,30,35,40,50,60,70,80,90,100"
iso14579,mm,"3,4,5,6,8,10,12,16,20,25,30,35,40,45,50,55,60,65,70,80"
iso14580,mm,"3,4,5,6,8,10,12,14,16,20,25,30,35,40,45,50,55,60,65,70,75,80"
iso14581,mm,"3,4,5,6,8,10,12,14,16,20,25,30,35,40,45,50,55,60"
iso14582,mm,"8,10,12,14,16,20,25,30,35,40,45,50,55,60,65,70,80,90,100"
iso14583,mm,"3,4,5,6,8,10,12,14,16,20,25,30,35,40,45,50,55,60"
iso14584,mm,"3,4,5,6,8,10,12,14,16,20,25,30,35,40,45,50,55,60"
