,iso14583:dk,iso14583:k,iso14583:recess,iso14583:short,iso14583:long,iso1580:dk,iso1580:k,iso1580:n,iso1580:t,iso1580:short,iso1580:long,asme_b_18.6.3:dk,asme_b_18.6.3:k,asme_b_18.6.3:recess
M1.6-0.35,,,,,,3.2,1,0.6,0.35,2,16,,,
M2-0.4,4,1.6,T6,3,20,4,1.3,0.7,0.5,2.5,20,,,
M2.5-0.45,5,2.1,T8,3,25,5,1.5,0.8,0.6,3,25,,,
M3-0.5,5.6,2.4,T10,4,30,5.6,1.8,1,0.7,4,30,,,
M3.5-0.6,7,2.6,T15,5,35,7,2.1,1.2,0.8,5,35,,,
M4-0.7,8,3.1,T20,5,40,8,2.4,1.51,1,5,40,,,
M5-0.8,9.5,3.7,T25,6,50,9.5,3,1.51,1.2,6,45,,,
M6-1,12,4.6,T30,8,60,12,3.6,1.91,1.4,8,45,,,
M8-1.25,16,6,T45,10,60,16,4.8,2.31,1.9,10,45,,,
M10-1.5,20,7.5,T50,12,60,20,6,2.81,2.4,12,45,,,
#3-48,,,,,,,,,,,,0.193,0.078,R00
#4-40,,,,,,,,,,,,0.219,0.086,R00
#5-40,,,,,,,,,,,,0.245,0.095,R0
#6-32,,,,,,,,,,,,0.27,0.103,R0
#8-32,,,,,,,,,,,,0.322,0.12,R1
#10-24,,,,,,,,,,,,0.373,0.137,R1
#12-24,,,,,,,,,,,,0.425,0.153,R2
1/4-20,,,,,,,,,,,,0.492,0.175,R2
5/16-18,,,,,,,,,,,,0.615,0.218,R3
3/8-16,,,,,,,,,,,,0.74,0.261,R3
