Size,iso4762:dk ,iso4762:k ,iso4762:s ,iso4762:t ,iso4762:short,iso4762:long,asme_b18.3:dk ,asme_b18.3:k ,asme_b18.3:s ,asme_b18.3:t ,asme_b18.3:short,asme_b18.3:long
M1.6-0.35,3.14,1.6,1.5,0.7,2.5,16,,,,,,
M2-0.4,3.98,2,1.5,1,3,20,,,,,,
M2.5-0.45,4.68,2.5,2,1.1,4,25,,,,,,
M3-0.5,5.68,3,2.5,1.3,5,30,,,,,,
M4-0.7,7.22,4,3,2,6,40,,,,,,
M5-0.8,8.72,5,4,2.5,8,50,,,,,,
M6-1,10.22,6,5,3,8,60,,,,,,
M8-1.25,13.27,8,6,4,10,80,,,,,,
M10-1.5,16.27,10,8,5,16,100,,,,,,
M12-1.75,18.27,12,10,6,20,120,,,,,,
M14-2,21.33,14,12,7,25,140,,,,,,
M16-2,24.33,16,14,8,25,160,,,,,,
M20-2.5,30.33,20,17,10,16,100,,,,,,
M24-3,36.39,24,19,12,40,200,,,,,,
M30-3.5,45.39,30,22,15.5,45,200,,,,,,
M36-4,54.46,36,27,19,55,200,,,,,,
M42-4.5,63.46,42,32,24,60,300,,,,,,
M48-5,72.46,48,36,28,100,300,,,,,,
M56-5.5,84.54,56,41,34,110,300,,,,,,
M64-6,96.54,64,46,38,120,300,,,,,,
#0-80,,,,,,,0.096,0.0600,0.050,0.025,0.75,1.25
#1-64,,,,,,,0.118,0.0730,1/16,0.031,0.88,1.50
#1-72,,,,,,,0.118,0.0730,1/16,0.031,0.88,1.50
#2-56,,,,,,,0.140,0.0860,5/64,0.038,0.88,1.75
#2-64,,,,,,,0.140,0.0860,5/64,0.038,0.88,1.75
#3-48,,,,,,,0.161,0.0990,5/64,0.044,0.88,2.00
#3-56,,,,,,,0.161,0.0990,5/64,0.044,0.88,2.00
#4-36,,,,,,,0.183,0.1120,3/32,0.051,1.00,2.25
#4-40,,,,,,,0.183,0.1120,3/32,0.051,1.00,2.25
#4-48,,,,,,,0.183,0.1120,3/32,0.051,1.00,2.25
#5-40,,,,,,,0.205,0.1250,3/32,0.057,1.00,2.50
#5-44,,,,,,,0.205,0.1250,3/32,0.057,1.00,2.50
#6-32,,,,,,,0.226,0.1380,7/64,0.064,1.25,2.75
#6-40,,,,,,,0.226,0.1380,7/64,0.064,1.25,2.75
#8-32,,,,,,,0.270,0.1640,9/64,0.077,1.25,3.25
#8-36,,,,,,,0.270,0.1640,9/64,0.077,1.25,3.25
#10-24,,,,,,,0.312,0.1900,5/32,0.090,1.25,4.00
#10-32,,,,,,,0.312,0.1900,5/32,0.090,1.25,4.00
1/4-20,,,,,,,0.375,0.2500,3/16,0.120,1.50,5.00
1/4-28,,,,,,,0.375,0.2500,3/16,0.120,1.50,5.00
5/16-18,,,,,,,0.469,0.3125,1/4,0.151,1.75,6.25
5/16-24,,,,,,,0.469,0.3125,1/4,0.151,1.75,6.25
3/8-16,,,,,,,0.562,0.3750,5/16,0.182,1.75,7.50
3/8-24,,,,,,,0.562,0.3750,5/16,0.182,1.75,7.50
7/16-14,,,,,,,0.656,0.4375,3/8,0.213,2.00,9.00
7/16-20,,,,,,,0.656,0.4375,3/8,0.213,2.00,9.00
1/2-13,,,,,,,0.750,0.5000,3/8,0.245,2.25,10.00
1/2-20,,,,,,,0.750,0.5000,3/8,0.245,2.25,10.00
5/8-11,,,,,,,0.938,0.6250,1/2,0.307,2.50,12.00
5/8-18,,,,,,,0.938,0.6250,1/2,0.307,2.50,12.00
3/4-10,,,,,,,1.125,0.7500,5/8,0.370,3.00,15.00
3/4-16,,,,,,,1.125,0.7500,5/8,0.370,3.00,15.00
7/8-14,,,,,,,1.312,0.8750,3/4,0.432,3.25,18.00
7/8-9,,,,,,,1.312,0.8750,3/4,0.432,3.25,18.00
1-8,,,,,,,1.500,1.0000,3/4,0.495,3.50,20.00
1-12,,,,,,,1.500,1.0000,3/4,0.495,3.50,20.00
1-14,,,,,,,1.500,1.0000,3/4,0.495,3.50,20.00
1 1/4-7,,,,,,,1.875,1.2500,7/8,0.620,,
1 1/4-12,,,,,,,1.875,1.2500,7/8,0.620,,
1 1/2-6,,,,,,,2.250,1.5000,1,0.745,,
1 1/2-12,,,,,,,2.250,1.5000,1,0.745,,
